"date","value","groupid","group"
"2010-02-13",41.1556,359,"VPOS"
"2010-02-14",41.4284,359,"VPOS"
"2010-02-15",41.5152,359,"VPOS"
"2011-12-16",76.3964,252,"VPOS"
"2011-12-17",76.384,252,"VPOS"
"2011-12-18",76.7808,252,"VPOS"
"2011-12-19",77.9836,252,"VPOS"
"2011-12-20",79.0748,252,"VPOS"
"2011-12-23",79.1864,252,"VPOS"
"2011-12-24",79.3228,252,"VPOS"
"2011-12-25",79.5088,252,"VPOS"
"2011-12-26",79.4964,252,"VPOS"
"2011-12-27",80.1536,252,"VPOS"
"2011-12-30",80.3706,252,"VPOS"
"2011-12-31",80.9968,252,"VPOS"
"2012-01-01",81.2696,252,"VPOS"
"2012-01-02",81.3936,252,"VPOS"
"2012-01-03",82.5964,252,"VPOS"
"2012-01-06",81.964,252,"VPOS"
"2012-01-07",81.5424,252,"VPOS"
"2012-01-08",80.8852,252,"VPOS"
"2012-01-09",79.2484,252,"VPOS"
"2012-01-10",79.6824,252,"VPOS"
"2012-01-13",79.6824,252,"VPOS"
"2012-01-14",79.4468,252,"VPOS"
"2012-01-15",79.4964,252,"VPOS"
"2012-01-16",79.5832,252,"VPOS"
"2012-01-17",78.7152,252,"VPOS"
"2012-01-20",78.4052,252,"VPOS"
"2012-01-21",79.0004,252,"VPOS"
"2012-01-22",78.306,252,"VPOS"
"2012-01-23",78.0828,252,"VPOS"
"2012-01-24",77.004,252,"VPOS"
"2012-01-27",76.9172,252,"VPOS"
"2012-01-28",76.4584,252,"VPOS"
"2012-01-29",75.7764,252,"VPOS"
"2012-01-30",76.8304,252,"VPOS"
"2012-01-31",76.1112,252,"VPOS"
"2012-02-03",76.9668,252,"VPOS"
"2012-02-04",77.3512,252,"VPOS"
"2012-02-05",76.7684,252,"VPOS"
"2012-02-06",75.5408,252,"VPOS"
"2012-02-07",75.2308,252,"VPOS"
"2012-02-10",74.2574,252,"VPOS"
"2012-02-11",76.6444,252,"VPOS"
"2012-02-12",75.9748,252,"VPOS"
"2012-02-13",75.7392,252,"VPOS"
"2012-02-14",75.7516,252,"VPOS"
"2012-02-17",75.5904,252,"VPOS"
"2012-02-18",75.5408,252,"VPOS"
"2012-02-19",75.5284,252,"VPOS"
"2012-02-20",75.5284,252,"VPOS"
"2012-02-21",75.578,252,"VPOS"
"2012-02-24",74.3876,252,"VPOS"
"2012-02-25",73.6436,252,"VPOS"
"2012-02-26",74.9456,252,"VPOS"
"2012-02-27",76.012,252,"VPOS"
"2012-02-28",76.9048,252,"VPOS"
"2012-03-02",75.9872,252,"VPOS"
"2012-03-03",76.694,252,"VPOS"
"2012-03-04",77.686,252,"VPOS"
"2012-03-05",75.7826,252,"VPOS"
"2012-03-06",76.2104,252,"VPOS"
"2012-03-09",77.1404,252,"VPOS"
"2012-03-10",77.252,252,"VPOS"
"2012-03-11",76.1236,252,"VPOS"
"2012-03-12",78.6408,252,"VPOS"
"2012-03-13",80.1164,252,"VPOS"
"2012-03-16",79.6576,252,"VPOS"
"2012-03-17",79.9924,252,"VPOS"
"2012-03-18",80.05688,252,"VPOS"
"2012-03-19",80.9348,252,"VPOS"
"2012-03-20",82.77,252,"VPOS"
"2012-03-23",82.15,252,"VPOS"
"2012-03-24",81.3316,252,"VPOS"
"2012-03-25",80.8604,252,"VPOS"
"2012-03-26",82.274,252,"VPOS"
"2012-03-27",82.1748,252,"VPOS"
"2012-03-30",82.4104,252,"VPOS"
"2012-03-31",83.39,252,"VPOS"
"2012-04-01",83.0304,252,"VPOS"
"2012-04-02",83.018,252,"VPOS"
"2012-04-03",82.956,252,"VPOS"
"2012-04-06",82.2492,252,"VPOS"
"2012-04-07",82.7204,252,"VPOS"
"2012-04-08",82.5468,252,"VPOS"
"2012-04-09",83.2412,252,"VPOS"
"2012-04-10",83.266,252,"VPOS"
"2012-04-13",83.018,252,"VPOS"
"2012-04-14",81.86604,252,"VPOS"
"2012-04-15",82.5344,252,"VPOS"
"2012-04-16",82.7204,252,"VPOS"
"2012-04-17",82.1872,252,"VPOS"
"2012-04-20",82.1872,252,"VPOS"
"2012-04-21",82.77,252,"VPOS"
"2012-04-22",83.4272,252,"VPOS"
"2012-04-23",84.1092,252,"VPOS"
"2012-04-24",84.3448,252,"VPOS"
"2012-04-27",85.93076,252,"VPOS"
"2012-04-28",86.9116,252,"VPOS"
"2012-04-29",84.4316,252,"VPOS"
"2012-04-30",85.3244,252,"VPOS"
"2012-05-01",85.0392,252,"VPOS"
"2012-05-04",84.4316,252,"VPOS"
"2012-05-05",86.0808,252,"VPOS"
"2012-05-06",86.3536,252,"VPOS"
"2012-05-07",86.1304,252,"VPOS"
"2012-05-08",85.6344,252,"VPOS"
"2012-05-11",85.5352,252,"VPOS"
"2012-05-12",84.9524,252,"VPOS"
"2012-05-13",85.25,252,"VPOS"
"2012-05-14",85.3988,252,"VPOS"
"2012-05-15",83.5512,252,"VPOS"
"2012-05-18",83.4768,252,"VPOS"
"2012-05-19",83.6876,252,"VPOS"
"2012-05-20",83.9232,252,"VPOS"
"2012-05-21",83.2164,252,"VPOS"
"2012-05-22",84.3448,252,"VPOS"
"2012-05-25",83.3156,252,"VPOS"
"2012-05-26",82.274,252,"VPOS"
"2012-05-27",81.4804,252,"VPOS"
"2012-05-28",82.8816,252,"VPOS"
"2012-05-29",83.762,252,"VPOS"
"2012-06-01",84.01,252,"VPOS"
"2012-06-02",84.5308,252,"VPOS"
"2012-06-03",85.3988,252,"VPOS"
"2012-06-04",85.188,252,"VPOS"
"2012-06-05",84.81848,252,"VPOS"
"2012-06-08",85.2748,252,"VPOS"
"2012-06-09",85.4608,252,"VPOS"
"2012-06-10",83.1296,252,"VPOS"
"2012-06-11",83.0056,252,"VPOS"
"2012-06-12",84.6548,252,"VPOS"
